City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
345,rio grande,-32.035,-52.0986,4.97,76,10,2.95,BR,1690609891
346,benguela,-12.5763,13.4055,18.76,86,54,1.62,AO,1690609892
347,sunyani,7.3399,-2.3268,21.6,99,100,1.54,GH,1690609892
348,loa janan,-0.583,117.095,32.44,46,72,3.4,ID,1690609893
349,hafar al-batin,28.4328,45.9708,37.32,9,0,3.09,SA,1690609893
350,yerofey pavlovich,53.9667,121.9667,22.89,68,75,0.59,RU,1690609894
351,betio village,1.358,172.9211,27.02,78,69,6.44,KI,1690609895
352,nadi,-17.8,177.4167,25.0,61,40,2.57,FJ,1690609637
353,fort bragg,35.139,-79.006,26.32,87,100,3.09,US,1690609895
354,arpacay,40.8487,43.3291,18.8,58,4,2.63,TR,1690609896
355,zaozersk,69.4005,32.4476,14.95,87,100,2.43,RU,1690609896
356,siddharthanagar,27.5,83.45,33.27,60,98,1.85,NP,1690609864
357,scarborough,54.2797,-0.4044,15.37,87,100,1.79,GB,1690609879
358,batticaloa,7.7102,81.6924,32.31,53,22,1.99,LK,1690609897
359,nyurba,63.2842,118.3319,26.25,35,13,2.78,RU,1690609898
